time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-27 00:00:00+00:00,13,6,0,0
2025-12-28 00:00:00+00:00,18,7,8,3
2025-12-29 00:00:00+00:00,14,6,1,1
2025-12-30 00:00:00+00:00,11,7,1,1
2025-12-31 00:00:00+00:00,12,7,0,0
2026-01-01 00:00:00+00:00,6,6,1,1
2026-01-02 00:00:00+00:00,14,6,2,2
2026-01-03 00:00:00+00:00,10,6,0,0
2026-01-04 00:00:00+00:00,13,5,1,1
2026-01-05 00:00:00+00:00,5,5,0,0
2026-01-06 00:00:00+00:00,12,5,0,0
2026-01-07 00:00:00+00:00,10,6,1,1
2026-01-08 00:00:00+00:00,10,6,0,0
2026-01-09 00:00:00+00:00,10,5,1,1
